noise,CEO,MGR,CMGR,SNRMGR,TSC,CONS,SNRTSC,SNRCONS,salary,tenure
12000.0,0,0,0,0,0,0,1,0,3730.0,6.980821917808219
16000.0,0,0,0,0,0,1,0,0,3600.0,29.846575342465755
19000.0,0,0,0,0,0,1,0,0,3860.0,26.983561643835618
13000.0,0,0,0,0,0,0,1,0,5200.0,15.668493150684931
10000.0,0,0,0,0,0,0,0,1,6260.0,7.454794520547945
14000.0,0,0,0,0,1,0,0,0,4400.0,26.545205479452054
13000.0,0,0,0,0,0,0,0,1,4660.0,17.684931506849313
12000.0,0,0,0,0,0,1,0,0,3330.0,9.016438356164384
11000.0,0,0,0,0,0,0,0,1,5600.0,6.712328767123288
16000.0,0,0,0,0,0,0,1,0,5060.0,12.41095890410959
18000.0,0,0,0,0,0,0,0,1,5060.0,30.78082191780822
16000.0,0,0,0,0,0,0,0,1,5200.0,20.172602739726027
15000.0,0,0,0,0,0,0,0,1,6000.0,6.86027397260274
13000.0,0,0,0,0,0,1,0,0,4660.0,32.465753424657535
8000.0,0,0,0,1,0,0,0,0,7060.0,21.22739726027397
13000.0,0,0,0,0,0,0,1,0,3330.0,19.671232876712327
13000.0,0,0,0,0,0,1,0,0,4400.0,26.134246575342466
14000.0,0,0,0,0,0,0,0,1,5200.0,25.172602739726027
13000.0,0,0,0,0,0,1,0,0,4260.0,23.254794520547946
11000.0,0,0,0,0,0,0,1,0,3860.0,29.504109589041096
14000.0,0,1,0,0,0,0,0,0,6260.0,25.843835616438355
13000.0,0,0,0,0,1,0,0,0,3200.0,6.7534246575342465
13000.0,0,0,0,0,0,1,0,0,3860.0,17.534246575342465
11000.0,0,0,0,0,0,1,0,0,3330.0,13.684931506849315
10000.0,0,1,0,0,0,0,0,0,7600.0,9.35890410958904
11000.0,0,0,0,0,0,1,0,0,3860.0,8.756164383561643
15000.0,0,0,0,0,1,0,0,0,3600.0,6.1726027397260275
11000.0,0,0,0,0,0,1,0,0,5730.0,10.372602739726027
17000.0,0,0,0,0,0,0,1,0,5460.0,31.389041095890413
12000.0,0,0,0,0,0,0,0,1,6530.0,17.03013698630137
12000.0,0,0,0,0,1,0,0,0,3600.0,32.92876712328767
11000.0,0,0,0,0,0,1,0,0,3330.0,11.723287671232876
10000.0,0,0,0,0,0,1,0,0,3860.0,8.205479452054794
9000.0,0,0,0,1,0,0,0,0,8400.0,18.572602739726026
18000.0,0,0,0,0,0,1,0,0,3600.0,16.86027397260274
12000.0,0,0,0,0,0,0,0,1,6530.0,29.734246575342464
14000.0,0,0,0,0,1,0,0,0,3060.0,30.947945205479453
13000.0,0,0,0,0,0,1,0,0,3460.0,31.035616438356165
14000.0,0,0,0,0,0,1,0,0,4660.0,22.383561643835616
11000.0,0,0,0,0,1,0,0,0,4930.0,17.660273972602738
12000.0,0,0,0,0,0,1,0,0,5330.0,24.315068493150687
9000.0,0,0,0,0,1,0,0,0,3460.0,11.347945205479451
13000.0,0,0,0,0,0,1,0,0,3460.0,13.75068493150685
15000.0,0,0,0,0,1,0,0,0,3060.0,9.528767123287672
12000.0,0,0,0,0,0,1,0,0,4930.0,29.326027397260273
11000.0,0,1,0,0,0,0,0,0,6400.0,29.052054794520547
13000.0,0,0,0,0,0,1,0,0,5330.0,31.84109589041096
10000.0,0,0,0,0,1,0,0,0,3460.0,11.887671232876713
13000.0,0,0,0,0,0,0,1,0,5860.0,33.84109589041096
14000.0,0,0,0,0,0,0,0,1,6400.0,11.446575342465753
12000.0,0,0,0,0,0,0,1,0,5730.0,31.621917808219177
11000.0,0,0,0,0,0,0,1,0,4530.0,14.224657534246575
14000.0,0,0,0,0,0,1,0,0,3860.0,11.0
16000.0,0,0,0,1,0,0,0,0,7060.0,9.334246575342465
12000.0,0,1,0,0,0,0,0,0,5460.0,30.887671232876713
19000.0,0,0,0,0,0,0,0,1,5060.0,16.112328767123287
11000.0,0,0,0,0,0,0,1,0,4930.0,13.180821917808219
12000.0,0,0,0,1,0,0,0,0,8260.0,28.197260273972603
12000.0,0,0,0,0,0,1,0,0,4530.0,11.816438356164383
16000.0,0,0,0,0,0,0,0,1,7200.0,9.38082191780822
13000.0,0,0,0,0,1,0,0,0,4400.0,23.884931506849316
11000.0,0,0,0,0,0,1,0,0,4660.0,26.561643835616437
12000.0,0,0,0,0,0,1,0,0,4000.0,26.726027397260275
15000.0,0,0,0,0,0,1,0,0,5460.0,15.175342465753424
9000.0,0,0,0,0,0,1,0,0,5200.0,4.964383561643835
16000.0,0,0,0,0,0,0,0,1,6660.0,8.391780821917807
11000.0,0,0,0,0,0,1,0,0,9600.0,16.221917808219178
17000.0,0,0,0,0,0,0,1,0,4130.0,25.975342465753425
18000.0,0,0,0,0,0,0,0,1,5330.0,31.84109589041096
10000.0,0,0,0,0,0,0,1,0,4930.0,14.263013698630138
12000.0,0,0,0,0,0,0,1,0,4000.0,12.498630136986302
17000.0,0,0,0,0,0,0,1,0,4800.0,25.44109589041096
14000.0,0,1,0,0,0,0,0,0,5600.0,22.432876712328767
14000.0,0,0,0,0,0,0,0,1,5730.0,31.104109589041094
18000.0,0,0,0,0,1,0,0,0,3860.0,20.035616438356165
12000.0,0,0,0,0,1,0,0,0,3060.0,32.25205479452055
13000.0,0,0,0,0,0,1,0,0,8260.0,29.58082191780822
12000.0,0,1,0,0,0,0,0,0,5730.0,29.394520547945206
10000.0,0,0,0,0,0,1,0,0,4400.0,33.44931506849315
18000.0,0,0,0,0,0,0,0,1,6530.0,15.087671232876712
18000.0,0,0,0,0,0,0,1,0,4660.0,34.465753424657535
12000.0,0,0,0,0,0,0,0,1,5860.0,14.772602739726027
9000.0,0,0,0,0,0,1,0,0,4260.0,28.52054794520548
12000.0,0,0,0,0,0,1,0,0,4130.0,20.553424657534247
11000.0,0,0,0,0,0,1,0,0,4000.0,22.898630136986302
20000.0,0,0,0,0,0,0,0,1,6130.0,24.15068493150685
12000.0,0,0,0,0,0,1,0,0,4530.0,28.86027397260274
13000.0,0,0,0,0,0,1,0,0,4130.0,9.542465753424658
13000.0,0,0,0,0,0,0,0,1,5600.0,13.035616438356165
13000.0,0,0,0,0,0,0,0,1,5460.0,15.463013698630137
12000.0,0,0,0,1,0,0,0,0,8130.0,16.542465753424658
18000.0,0,0,0,0,0,1,0,0,9600.0,19.983561643835618
13000.0,0,0,0,0,0,0,0,1,6930.0,24.301369863013697
12000.0,0,0,0,0,0,1,0,0,3460.0,8.591780821917808
11000.0,0,0,0,0,1,0,0,0,5200.0,6.715068493150685
15000.0,0,0,0,0,0,0,0,1,7060.0,30.084931506849315
11000.0,0,0,0,0,0,1,0,0,3460.0,6.663013698630137
11000.0,0,0,0,1,0,0,0,0,8530.0,22.095890410958905
13000.0,0,0,0,0,1,0,0,0,4400.0,7.572602739726028
9000.0,0,0,0,0,0,0,0,1,4800.0,20.556164383561644
11000.0,0,0,0,0,1,0,0,0,3060.0,18.92876712328767
12000.0,0,0,0,0,0,1,0,0,3730.0,14.643835616438356
10000.0,0,0,0,0,0,1,0,0,3730.0,28.126027397260273
17000.0,0,0,0,0,0,1,0,0,3600.0,29.46849315068493
10000.0,0,0,0,0,0,0,1,0,5330.0,9.454794520547946
16000.0,0,0,0,0,1,0,0,0,5060.0,9.194520547945206
10000.0,0,0,0,0,0,1,0,0,4260.0,28.526027397260275
12000.0,0,0,0,0,0,0,0,1,7200.0,23.5972602739726
13000.0,0,0,0,0,0,1,0,0,5200.0,11.961643835616439
12000.0,0,0,0,0,0,0,0,1,5860.0,23.86027397260274
11000.0,0,0,0,0,1,0,0,0,3330.0,33.54246575342466
13000.0,0,0,0,0,0,0,1,0,5060.0,16.454794520547946
13000.0,0,0,0,0,0,0,1,0,4000.0,34.915068493150685
10000.0,0,0,0,0,0,1,0,0,4930.0,15.038356164383561
18000.0,0,0,0,0,0,1,0,0,5200.0,11.6
15000.0,0,0,0,0,0,1,0,0,4400.0,31.59178082191781
13000.0,0,0,0,0,0,0,1,0,3860.0,6.243835616438356
14000.0,0,0,0,0,0,1,0,0,5060.0,27.956164383561642
17000.0,0,0,0,0,0,1,0,0,5060.0,30.405479452054795
16000.0,0,0,0,0,0,0,0,1,4930.0,27.476712328767125
14000.0,0,0,0,0,0,1,0,0,3860.0,22.235616438356164
17000.0,0,0,0,0,0,0,1,0,4530.0,26.904109589041095
17000.0,0,0,0,0,0,0,0,1,6930.0,6.810958904109589
14000.0,0,0,0,0,0,0,1,0,4400.0,26.23835616438356
13000.0,0,0,0,0,0,1,0,0,4260.0,9.367123287671232
16000.0,0,0,0,0,0,0,1,0,5730.0,6.926027397260274
14000.0,0,0,0,0,1,0,0,0,4660.0,13.087671232876712
12000.0,0,0,0,0,0,0,1,0,5060.0,28.052054794520547
10000.0,0,0,0,0,0,0,1,0,4530.0,18.715068493150685
17000.0,0,0,0,0,1,0,0,0,4530.0,9.087671232876712
13000.0,0,0,0,0,0,0,1,0,5060.0,33.57534246575342
11000.0,0,0,0,0,0,1,0,0,4660.0,9.652054794520549
11000.0,0,0,0,0,0,0,0,1,6530.0,32.71232876712329
16000.0,0,0,0,0,0,0,0,1,5600.0,19.81095890410959
13000.0,0,0,0,0,0,0,0,1,6930.0,30.764383561643836
11000.0,0,0,0,0,1,0,0,0,3330.0,30.36986301369863
11000.0,0,0,0,0,0,0,0,1,6530.0,26.276712328767122
13000.0,0,0,0,0,0,1,0,0,3330.0,33.88219178082192
10000.0,0,0,0,0,0,0,0,1,4800.0,26.153424657534245
17000.0,0,0,0,0,1,0,0,0,3730.0,7.35068493150685
11000.0,0,0,0,0,0,1,0,0,3330.0,13.106849315068493
12000.0,0,0,0,0,0,1,0,0,8130.0,11.073972602739726
10000.0,0,0,0,0,0,1,0,0,3860.0,32.31780821917808
10000.0,0,0,0,0,0,0,1,0,5200.0,5.706849315068493
12000.0,0,0,0,0,0,0,0,1,5860.0,26.824657534246576
11000.0,0,0,0,0,0,0,1,0,5600.0,33.676712328767124
17000.0,0,0,0,0,0,1,0,0,9860.0,34.43835616438356
13000.0,0,0,0,0,1,0,0,0,5200.0,12.232876712328768
10000.0,0,0,0,0,0,0,1,0,3460.0,24.2
16000.0,0,0,0,0,0,0,0,1,4930.0,30.232876712328768
14000.0,0,0,0,0,0,0,1,0,4130.0,8.221917808219178
18000.0,0,0,0,0,0,0,0,1,5600.0,32.487671232876714
15000.0,0,0,0,0,1,0,0,0,4530.0,24.38082191780822
12000.0,0,0,0,0,0,0,0,1,6000.0,26.646575342465752
13000.0,0,0,0,0,1,0,0,0,2930.0,11.860273972602739
10000.0,0,0,0,0,0,1,0,0,4000.0,24.473972602739725
15000.0,0,0,0,0,0,0,1,0,3330.0,11.605479452054794
10000.0,0,0,0,0,0,0,1,0,4130.0,22.372602739726027
14000.0,0,0,0,0,0,1,0,0,3860.0,32.013698630136986
11000.0,0,0,0,0,0,1,0,0,4530.0,17.284931506849315
15000.0,0,0,0,0,0,1,0,0,3600.0,7.808219178082192
15000.0,0,0,0,0,0,1,0,0,5060.0,29.21095890410959
10000.0,0,0,0,0,0,1,0,0,4130.0,12.684931506849315
9000.0,0,0,0,0,0,1,0,0,3860.0,4.682191780821918
13000.0,0,0,0,0,1,0,0,0,3330.0,11.361643835616439
13000.0,0,0,0,0,0,1,0,0,4660.0,18.18082191780822
12000.0,0,0,0,0,0,1,0,0,4130.0,22.350684931506848
12000.0,0,0,0,0,0,1,0,0,5060.0,26.153424657534245
14000.0,0,0,0,0,0,1,0,0,4930.0,32.172602739726024
13000.0,0,0,0,0,0,1,0,0,4260.0,4.843835616438356
11000.0,0,0,0,0,0,1,0,0,3860.0,4.3561643835616435
15000.0,0,0,0,0,1,0,0,0,5060.0,6.284931506849315
15000.0,0,0,0,0,0,0,0,1,4930.0,13.567123287671233
16000.0,0,0,0,0,0,1,0,0,4930.0,28.561643835616437
14000.0,0,0,0,0,0,0,0,1,6800.0,12.468493150684932
16000.0,0,0,0,1,0,0,0,0,8530.0,19.923287671232877
12000.0,0,0,0,0,0,0,0,1,6130.0,9.03013698630137
13000.0,0,0,0,0,0,0,0,1,4800.0,17.663013698630138
16000.0,0,0,0,0,0,0,1,0,4660.0,9.326027397260274
19000.0,0,0,0,0,0,1,0,0,4930.0,31.85753424657534
13000.0,0,0,0,0,1,0,0,0,3730.0,31.068493150684933
16000.0,0,0,0,0,0,0,0,1,6800.0,23.673972602739727
11000.0,1,0,0,0,0,0,0,0,9200.0,10.449315068493151
14000.0,0,0,0,0,0,0,0,1,6530.0,7.057534246575343
16000.0,0,0,0,0,0,0,0,1,6130.0,34.821917808219176
13000.0,0,0,0,0,0,0,0,1,6400.0,28.202739726027396
14000.0,0,0,0,0,0,1,0,0,3860.0,7.706849315068493
14000.0,0,0,0,0,0,1,0,0,4400.0,27.76986301369863
11000.0,0,0,0,0,0,0,0,1,6260.0,31.991780821917807
12000.0,0,0,0,0,0,0,1,0,5200.0,11.498630136986302
11000.0,0,0,0,0,0,0,1,0,5730.0,20.632876712328766
14000.0,0,0,0,0,0,0,0,1,7200.0,20.147945205479452
15000.0,0,0,0,0,0,1,0,0,4130.0,34.18630136986302
12000.0,0,0,0,0,1,0,0,0,4000.0,12.816438356164383
21000.0,0,0,0,0,0,0,0,1,5600.0,18.101369863013698
11000.0,0,0,0,0,0,0,0,1,5460.0,8.887671232876713
14000.0,0,0,0,0,0,0,1,0,5060.0,7.315068493150685
13000.0,0,0,0,0,1,0,0,0,4530.0,20.03013698630137
15000.0,0,0,0,0,0,0,0,1,6000.0,32.31780821917808
12000.0,0,0,0,0,0,0,1,0,3460.0,24.583561643835615
13000.0,0,0,0,0,0,1,0,0,3730.0,5.967123287671233
11000.0,0,0,0,0,0,1,0,0,4930.0,11.564383561643835
12000.0,0,0,0,0,0,1,0,0,4660.0,16.17808219178082
13000.0,0,0,0,0,0,0,0,1,5200.0,20.736986301369864
11000.0,0,0,0,0,0,0,0,1,6000.0,16.232876712328768
12000.0,0,0,0,0,0,0,0,1,6000.0,5.616438356164384
13000.0,0,0,0,0,0,1,0,0,4800.0,11.33972602739726
12000.0,0,0,0,0,0,1,0,0,8260.0,7.197260273972603
13000.0,0,0,0,0,0,1,0,0,4530.0,21.95068493150685
12000.0,0,0,0,0,1,0,0,0,3060.0,34.868493150684934
12000.0,0,0,0,0,0,0,1,0,5600.0,17.646575342465752
11000.0,0,0,0,0,1,0,0,0,4260.0,34.178082191780824
17000.0,0,0,0,0,1,0,0,0,3200.0,8.857534246575343
11000.0,0,0,0,0,0,0,0,1,7060.0,19.698630136986303
16000.0,0,0,0,0,1,0,0,0,4260.0,14.556164383561644
12000.0,0,0,0,0,0,0,1,0,3730.0,23.706849315068492
11000.0,0,0,0,0,1,0,0,0,4130.0,5.852054794520548
15000.0,0,0,0,0,0,0,0,1,5060.0,11.498630136986302
13000.0,0,0,0,0,0,1,0,0,3860.0,7.112328767123287
10000.0,0,0,0,0,0,0,0,1,5330.0,33.347945205479455
12000.0,0,0,0,0,0,0,0,1,6000.0,20.18082191780822
13000.0,0,0,0,0,0,1,0,0,3860.0,19.504109589041096
12000.0,0,0,0,0,0,1,0,0,4000.0,6.876712328767123
11000.0,0,0,0,0,0,1,0,0,4260.0,16.336986301369862
14000.0,0,0,0,0,0,1,0,0,4530.0,28.92876712328767
17000.0,0,0,0,0,0,0,0,1,7060.0,28.172602739726027
11000.0,0,0,0,0,0,1,0,0,5600.0,14.238356164383562
13000.0,0,0,0,0,0,1,0,0,5730.0,25.052054794520547
10000.0,0,0,0,0,0,0,1,0,5730.0,14.336986301369864
16000.0,0,0,0,0,0,0,1,0,5060.0,24.454794520547946
11000.0,0,0,0,0,0,0,0,1,6130.0,9.723287671232876
10000.0,0,0,0,0,0,1,0,0,3730.0,19.216438356164385
15000.0,0,0,0,0,0,0,0,1,6530.0,27.512328767123286
18000.0,0,0,0,0,0,0,0,1,4930.0,11.69041095890411
14000.0,0,0,0,0,0,0,0,1,6660.0,5.375342465753425
13000.0,0,0,0,0,0,0,0,1,6130.0,6.5698630136986305
12000.0,0,0,0,0,0,0,0,1,5600.0,29.30958904109589
11000.0,0,0,0,0,0,0,0,1,4800.0,11.827397260273973
13000.0,0,0,0,0,0,0,1,0,5330.0,21.983561643835618
15000.0,0,0,0,0,0,0,0,1,6530.0,12.046575342465754
13000.0,0,0,0,0,1,0,0,0,3460.0,33.02191780821918
13000.0,0,0,0,0,1,0,0,0,2800.0,34.032876712328765
15000.0,0,0,0,0,0,0,0,1,4930.0,24.095890410958905
14000.0,0,0,0,0,1,0,0,0,4130.0,19.613698630136987
15000.0,0,0,0,0,0,0,0,1,5060.0,14.794520547945206
14000.0,0,0,0,0,1,0,0,0,3330.0,4.506849315068493
14000.0,0,0,0,0,0,0,1,0,3860.0,34.87945205479452
14000.0,0,0,0,0,0,1,0,0,5200.0,22.643835616438356
16000.0,0,0,0,0,0,1,0,0,9600.0,16.736986301369864
13000.0,0,0,0,0,0,0,1,0,3730.0,20.427397260273974
13000.0,0,0,0,1,0,0,0,0,8400.0,26.720547945205478
12000.0,0,0,0,0,0,0,0,1,4930.0,21.5972602739726
13000.0,0,0,0,0,0,0,1,0,3600.0,22.23835616438356
12000.0,0,0,0,0,0,0,0,1,5460.0,7.16986301369863
13000.0,0,0,0,0,0,0,0,1,6000.0,29.386301369863013
12000.0,0,0,0,0,0,0,1,0,4660.0,7.945205479452055
11000.0,0,0,0,0,0,0,0,1,5060.0,15.772602739726027
13000.0,0,0,0,0,0,0,1,0,5330.0,6.994520547945205
14000.0,0,0,0,0,0,1,0,0,4530.0,11.712328767123287
17000.0,0,0,0,0,0,0,0,1,4660.0,8.164383561643836
11000.0,0,0,0,0,0,0,0,1,6260.0,25.24109589041096
16000.0,0,0,0,0,0,0,0,1,6000.0,13.115068493150686
14000.0,0,0,0,0,0,0,1,0,4000.0,10.898630136986302
14000.0,0,0,0,0,1,0,0,0,4800.0,21.476712328767125
13000.0,0,0,0,0,0,1,0,0,4660.0,10.76986301369863
15000.0,0,0,0,0,0,1,0,0,4000.0,31.827397260273973
13000.0,0,0,0,0,1,0,0,0,4260.0,9.616438356164384
11000.0,0,0,0,0,1,0,0,0,4000.0,30.446575342465753
12000.0,0,0,0,0,0,1,0,0,8930.0,29.81095890410959
15000.0,0,0,0,0,0,1,0,0,5730.0,13.63013698630137
13000.0,0,0,0,0,0,0,0,1,6930.0,14.613698630136986
15000.0,0,0,0,0,0,1,0,0,5860.0,13.112328767123287
9000.0,0,0,0,0,0,0,1,0,5200.0,12.32054794520548
11000.0,0,0,0,0,0,1,0,0,4530.0,19.016438356164382
18000.0,0,0,0,0,1,0,0,0,4930.0,18.252054794520546
10000.0,0,0,0,0,0,1,0,0,5060.0,13.01095890410959
17000.0,0,0,0,0,1,0,0,0,3460.0,14.09041095890411
12000.0,0,0,0,0,0,1,0,0,4130.0,34.8027397260274
13000.0,0,0,0,0,0,1,0,0,4400.0,19.9013698630137
11000.0,0,0,0,0,1,0,0,0,4000.0,22.87945205479452
12000.0,0,0,0,0,0,0,0,1,5860.0,4.7972602739726025
11000.0,0,0,0,1,0,0,0,0,7730.0,15.016438356164384
11000.0,0,0,0,0,0,0,0,1,4800.0,5.652054794520548
10000.0,0,0,0,0,0,1,0,0,4130.0,13.564383561643835
16000.0,0,0,0,0,0,0,0,1,6930.0,10.53972602739726
12000.0,0,0,0,1,0,0,0,0,9200.0,29.252054794520546
9000.0,0,0,0,0,0,1,0,0,5860.0,30.16986301369863
15000.0,0,0,0,0,0,0,0,1,5860.0,30.846575342465755
13000.0,0,0,0,0,0,0,1,0,3730.0,12.150684931506849
12000.0,0,0,0,0,0,1,0,0,5600.0,34.19178082191781
15000.0,0,0,0,0,0,0,1,0,4660.0,11.145205479452056
17000.0,0,0,0,0,0,0,0,1,6260.0,10.964383561643835
13000.0,0,0,0,0,0,1,0,0,4800.0,5.772602739726027
15000.0,0,0,0,0,0,0,1,0,5330.0,9.61917808219178
16000.0,0,0,0,0,0,0,1,0,4530.0,21.4027397260274
13000.0,0,0,0,0,0,1,0,0,4400.0,8.509589041095891
14000.0,0,0,0,0,0,1,0,0,8530.0,22.545205479452054
13000.0,0,0,0,0,0,0,0,1,4930.0,11.402739726027397
14000.0,0,0,0,0,0,1,0,0,5200.0,9.035616438356165
14000.0,0,1,0,0,0,0,0,0,7330.0,9.128767123287671
11000.0,0,0,0,0,0,0,1,0,4930.0,19.942465753424656
12000.0,0,0,0,0,1,0,0,0,3600.0,31.624657534246577
14000.0,0,0,0,0,0,1,0,0,3730.0,28.553424657534247
12000.0,0,0,0,0,0,1,0,0,5730.0,10.175342465753424
15000.0,0,0,0,0,0,0,0,1,6800.0,13.024657534246575
11000.0,0,0,0,0,0,0,1,0,4930.0,31.471232876712328
14000.0,0,0,0,0,0,0,0,1,4660.0,11.756164383561643
